PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,MUNICODE,MUNIDESC,SCHOOLCODE,SCHOOLDESC,LEGAL1,LEGAL2,LEGAL3,NEIGHCODE,NEIGHDESC,TAXCODE,TAXDESC,TAXSUBCODE,TAXSUBCODE_DESC,OWNERCODE,OWNERDESC,CLASS,CLASSDESC,USECODE,USEDESC,LOTAREA,HOMESTEADFLAG,FARMSTEADFLAG,CLEANGREEN,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALECODE,SALEDESC,DEEDBOOK,DEEDPAGE,PREVSALEDATE,PREVSALEPRICE,PREVSALEDATE2,PREVSALEPRICE2,CHANGENOTICEADDRESS1,CHANGENOTICEADDRESS2,CHANGENOTICEADDRESS3,CHANGENOTICEADDRESS4,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLE,STYLEDESC,STORIES,YEARBLT,EXTERIORFINISH,EXTFINISH_DESC,ROOF,ROOFDESC,BASEMENT,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLING,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE,FINISHEDLIVINGAREA,CARDNUMBER,ALT_ID,TAXYEAR,ASOFDATE
0001C00228000100,100, ,FORBES AVE,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,TOWN PLACE CONDOMINIUM,UNIT 1,,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,550,CONDOMINIUM UNIT,0,,,,,03-01-2016,02-25-2016,0.0,H,MULTI-PARCEL SA,16304,109.0,,,,,11   PARKWAY CTR  STE 300,  ,PITTSBURGH PA  ,15220.0,3400000,0,3400000,0,3400000,0,3400000,3400000,0,3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0001H00192000100,411, ,WOOD ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,MATT PARTNERSHIP PLAN,LOT 1=24.71X55.11X24.45,,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,404,RETL/APT'S OVER,1355,,,,,06-11-2007,06-11-2007,290000.0,AA,SALE NOT ANALYZ,13266,403.0,07-22-1988,163000.0,,,527   COURT PL   ,  ,PITTSBURGH PA  ,15219.0,150600,162600,313200,0,150600,162600,313200,150600,162600,313200,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0001H00283000000,418, ,WOOD ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 17.5X76.38,,,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,10,REGULAR,C,COMMERCIAL,406,RETL/STOR OVER,2736,,,,,,05-22-1998,180000.0,0,VALID SALE,10203,462.0,05-22-1997,1.0,,,5479   POCUSSET ST   ,  ,PITTSBURGH PA  ,15217.0,113200,164200,277400,0,113200,164200,277400,113200,164200,277400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0001M00123000000,115, ,SMITHFIELD ST,PITTSBURGH,PA, ,15222.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,LOT 40X77.5,,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,405,RETL/OFF OVER,3120,,,,,09-21-2015,09-18-2015,800000.0,36,QUIT CLAIM,16132,39.0,09-09-2009,1.0,01-02-1970,0.0,522   ROCKLAND DR   ,  ,PITTSBURGH PA  ,15239.0,368000,368000,736000,0,368000,368000,736000,368000,368000,736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0002J00082000000,310, ,GRANT ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,IRREG LOT 171.84X127.75X171.88 IN ALL,GRANT ST-3RD AVE & 4TH AVE,3 STY BRK BLDG & 1 STY ADDN 512-514,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,449,OFFICE-ELEVATOR -3 + STORIES,19494,,,,,04-11-2006,04-11-2006,28500000.0,0,VALID SALE,12808,484.0,12-03-1997,34816000.0,,,310   GRANT ST  STE 2500,  ,PITTSBURGH PA  ,15219.0,31460700,2339300,33800000,0,31460700,2339300,33800000,31460700,2339300,33800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0002J00104000000,301, ,GRANT ST,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,OXFORD CENTRE PLAN 1 LOT 171.65,X220.60 SMITHFIELD ST BET THIRD & FOURTH,AVES,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,449,OFFICE-ELEVATOR -3 + STORIES,48082,,,,,01-25-2016,01-18-2016,148752900.0,36,QUIT CLAIM,16267,254.0,09-21-1979,6300000.0,,,235   MONTGOMERY ST  FL 16TH,  ,SAN FRANCISCO CA  ,94104.0,112230200,5769800,118000000,0,112230200,5769800,118000000,112230200,5769800,118000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0011J00107000000,1800, ,FORBES AVE,PITTSBURGH,PA, ,15219.0,101,1st Ward  - PITTSBURGH,47,Pittsburgh,PT 1 LOT 19.88X60 FORBES ST S E COR MILTENBERGE,R ST                                           ,2 STY BRK HSE & STO 1800                       ,51C04B,PITTSBURGH URBAN,T,20 - Taxable,,,12,REGULAR-ETUX OR ET VIR,C,COMMERCIAL,404,RETL/APT'S OVER,1193,,,,,,09-29-1981,1.0,3,LOVE&AFFECTION,6405,354.0,,,,,280   CHICKASAW AVE   ,  ,PITTSBURGH PA  ,15237.0,66300,23900,90200,0,66300,23900,90200,66300,23900,90200,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0001C00037000000,625, ,STANWIX ST,PITTSBURGH,PA, ,15222.0,102,2nd Ward - PITTSBURGH,47,Pittsburgh,LOT 248.43X104.13 (OR 0.594 ALD) STANWIX ST,COR FORT DUQUESNE BLVD,PT 24 STY CON BLK & STN APT OFFICE & PARKING,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,456,PARKING GARAGE/LOTS,25875,,,,,,05-09-2000,11000000.0,H,MULTI-PARCEL SA,10768,60.0,11-25-1997,17077000.0,,,   PO BOX 4900    , DEPT. 201 - PROPERTY TAX INC. ,SCOTTSDALE AZ  ,85261.0,9362500,3105000,12467500,0,9362500,3105000,12467500,9362500,3105000,12467500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0001C00037000A00,625, ,STANWIX ST,PITTSBURGH,PA, ,15222.0,102,2nd Ward - PITTSBURGH,47,Pittsburgh,PT 24 STY CON BLK & STN APT OFFICE & PARKING   ,BLDG (BLDG IMPROVEMENTS ONLY--NO LAND)         ,BASEMENT LEVEL-PARCEL 'B' COMMERCIAL AREAR     ,51C01,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,404,RETL/APT'S OVER,0,,,,,08-03-2016,07-25-2016,7400000.0,35,CORP TRANSFER,16485,480.0,12-12-2000,5210000.0,05-19-2000,4000000.0,1101  S CAPITAL OF TEXAS HWY  STE B-220,  ,AUSTIN TX  ,78746.0,6400000,0,6400000,0,6400000,0,6400000,6400000,0,6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
0009K00080000000,1233, ,PENN AVE,PITTSBURGH,PA, ,15222.0,102,2nd Ward - PITTSBURGH,47,Pittsburgh,GEO A BAYARK PLAN WLY 1/2-6 LOT 25X100 PENN AVE,2-3 STY BRK STO BLDG 1233- 1235                ,,51C02,PITTSBURGH URBAN,T,20 - Taxable,,,20,CORPORATION,C,COMMERCIAL,406,RETL/STOR OVER,2500,,,,,01-30-2018,01-09-2018,1.0,3,LOVE&AFFECTION,17094,423.0,12-10-1998,167500.0,05-05-1950,0.0,408   CEDAR AVE   ,  ,PITTSBURGH PA  ,15212.0,75000,75000,150000,0,75000,75000,150000,75000,75000,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,01-NOV-22
